Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Strudel, Apple",281.0,1.96,37.18,14.08,0.8,Cakes and pies,energy_dense,2.79,52.93,45.1,0.98,0.01,21.1,132.0,7.6,39.0
"Strudel, Berry",291.0,2.43,39.23,14.24,2.7,Cakes and pies,energy_dense,3.34,53.92,44.04,1.76,0.01,21.7,131.0,7.61,39.0
"Strudel, Cheese",358.0,5.85,39.14,19.81,0.4,Cakes and pies,energy_dense,6.54,43.73,49.8,1.75,0.02,19.41,190.0,11.04,60.0
"Strudel, Cherry",296.0,2.22,40.68,14.1,1.0,Cakes and pies,energy_dense,3.0,54.97,42.87,1.09,0.01,24.84,131.0,7.61,39.0
"Strudel, Peach",281.0,2.09,36.73,14.08,0.9,Cakes and pies,energy_dense,2.98,52.28,45.1,1.06,0.01,20.87,133.0,7.61,39.0
"Tart, All Types",316.0,3.0,42.6,16.1,2.6,Cakes and pies,energy_dense,3.8,53.92,45.85,1.77,0.01,21.4,333.0,2.46,0.0
Tiramisu,353.0,5.65,29.44,23.86,0.6,Cakes and pies,energy_dense,6.4,33.36,60.83,1.77,0.02,18.7,173.0,13.28,121.0
Topping From Cheese Pizza,230.0,16.86,7.62,14.67,1.0,Pizza,energy_dense,29.32,13.25,57.4,7.77,0.07,4.38,713.0,8.02,45.0
Topping From Meat And Vegetable Pizza,299.0,17.55,7.66,22.03,1.0,Pizza,energy_dense,23.48,10.25,66.31,6.2,0.06,4.09,837.0,9.55,61.0
Topping From Meat Pizza,321.0,19.19,5.65,24.52,0.7,Pizza,energy_dense,23.91,7.04,68.75,6.2,0.06,3.2,934.0,10.65,68.0
Topping From Vegetable Pizza,247.0,15.59,12.18,15.61,1.9,Pizza,energy_dense,25.25,19.72,56.88,7.08,0.06,5.75,805.0,7.62,40.0
"Turnover, Fruit",316.0,3.0,42.6,16.1,2.6,Cakes and pies,energy_dense,3.8,53.92,45.85,1.77,0.01,21.4,333.0,2.46,0.0
White Chocolate Candy,539.0,5.87,59.24,32.09,0.2,Candy not containing chocolate,energy_dense,4.36,43.96,53.58,1.13,0.01,59.0,90.0,19.41,21.0
"White Pizza, Cheese, Thick Crust",280.0,11.8,31.82,11.41,1.3,Pizza,energy_dense,16.86,45.46,36.67,4.68,0.04,3.32,541.0,4.26,19.0
"White Pizza, Cheese, Thin Crust",285.0,12.4,27.58,13.66,1.1,Pizza,energy_dense,17.4,38.71,43.14,4.74,0.04,2.97,521.0,5.23,24.0
"White Pizza, Cheese, With Meat And Vegetables, Thick Crust",270.0,11.67,25.31,13.34,1.1,Pizza,energy_dense,17.29,37.5,44.47,4.73,0.04,3.06,559.0,4.94,27.0
"White Pizza, Cheese, With Meat And Vegetables, Thin Crust",272.0,12.07,21.06,15.31,1.0,Pizza,energy_dense,17.75,30.97,50.66,4.81,0.04,2.75,548.0,5.76,32.0
"White Pizza, Cheese, With Meat, Thick Crust",296.0,12.84,27.2,14.8,1.1,Pizza,energy_dense,17.35,36.76,45.0,4.71,0.04,2.95,621.0,5.49,30.0
"White Pizza, Cheese, With Meat, Thin Crust",304.0,13.56,22.77,17.36,0.9,Pizza,energy_dense,17.84,29.96,51.39,4.76,0.04,2.59,622.0,6.54,36.0
"White Pizza, Cheese, With Vegetables, Thick Crust",244.0,10.02,27.82,10.14,1.3,Pizza,energy_dense,16.43,45.61,37.4,4.64,0.04,3.21,492.0,3.68,16.0
"White Pizza, Cheese, With Vegetables, Thin Crust",241.0,10.13,23.59,11.68,1.2,Pizza,energy_dense,16.81,39.15,43.62,4.7,0.04,2.9,466.0,4.34,20.0
"Yat Ga Mein With Meat, Fish, Or Poultry",134.0,10.36,11.16,5.57,1.5,Fried rice and lo/chow mein,energy_dense,30.93,33.31,37.41,8.85,0.08,1.54,354.0,1.65,26.0
Aloe Vera Juice Drink,15.0,0.0,3.75,0.0,0.0,Other fruit juice,fruits,0.0,100.0,0.0,0.0,0.0,3.75,8.0,0.0,0.0
Apple Cider,46.0,0.1,11.3,0.13,0.2,Apple juice,fruits,0.87,98.26,2.54,0.65,0.0,9.62,4.0,0.02,0.0
"Apple Juice Beverage, 40-50% Juice, Light",22.0,0.0,5.1,0.1,0.0,Fruit drinks,fruits,0.0,92.73,4.09,0.0,0.0,4.8,13.0,0.0,0.0
"Apple Juice, 100%",48.0,0.09,11.34,0.25,0.2,Apple juice,fruits,0.75,94.5,4.69,0.6,0.0,10.13,5.0,0.02,0.0
"Apple Juice, 100%, With Calcium Added",48.0,0.12,11.49,0.17,0.3,Apple juice,fruits,1.0,95.75,3.19,0.88,0.0,9.47,5.0,0.03,0.0
Apple Pie Filling,100.0,0.1,26.1,0.1,1.0,Apples,fruits,0.4,100.0,0.9,1.1,0.0,13.8,47.0,0.0,0.0
"Apple, Baked",113.0,0.32,22.7,3.08,2.5,Apples,fruits,1.13,80.35,24.53,2.5,0.0,19.01,4.0,1.64,8.0
"Apple, Candied",134.0,1.34,29.61,2.15,1.8,Apples,fruits,4.0,88.39,14.44,2.34,0.01,24.17,62.0,0.64,2.0
"Apple, Dried",243.0,0.93,65.89,0.32,8.7,Dried fruits,fruits,1.53,100.0,1.19,3.96,0.0,57.19,87.0,0.05,0.0
"Apple, Raw",61.0,0.17,14.8,0.15,2.1,Apples,fruits,1.11,97.05,2.21,3.72,0.0,12.08,0.0,0.03,0.0
"Applesauce, Flavored",75.0,0.25,17.97,0.17,1.0,Apples,fruits,1.33,95.84,2.04,1.67,0.0,15.56,1.0,0.01,0.0
"Applesauce, Regular",75.0,0.25,17.97,0.17,1.0,Apples,fruits,1.33,95.84,2.04,1.67,0.0,15.56,1.0,0.01,0.0
"Applesauce, Unsweetened",52.0,0.27,12.26,0.16,1.1,Apples,fruits,2.08,94.31,2.77,2.63,0.01,9.66,1.0,0.01,0.0
Apricot Nectar,56.0,0.17,13.63,0.45,0.1,Fruit drinks,fruits,1.21,97.36,7.23,0.48,0.0,12.79,8.0,0.03,0.0
"Apricot, Dried",241.0,3.39,62.64,0.51,7.3,Dried fruits,fruits,5.63,100.0,1.9,4.44,0.01,53.44,10.0,0.02,0.0
"Baby Toddler Apples, Stage 1",41.0,0.2,10.8,0.2,1.7,Baby food: fruit,fruits,1.95,100.0,4.39,4.63,0.0,9.87,0.0,0.03,0.0
"Baby Toddler Apples, Stage 2",37.0,0.0,10.3,0.0,1.7,Baby food: fruit,fruits,0.0,100.0,0.0,4.59,0.0,8.48,1.0,0.0,0.0
"Baby Toddler Bananas, Stage 1",91.0,1.0,21.34,0.2,1.6,Baby food: fruit,fruits,4.4,93.8,1.98,2.86,0.01,11.36,2.0,0.07,0.0
"Baby Toddler Bananas, Stage 2",91.0,1.0,21.34,0.2,1.6,Baby food: fruit,fruits,4.4,93.8,1.98,2.86,0.01,11.36,2.0,0.07,0.0
"Baby Toddler Fruit,",68.0,0.68,16.44,0.21,1.7,Baby food: fruit,fruits,4.0,96.71,2.78,3.5,0.01,10.49,2.0,0.05,0.0
Baby Toddler Mangoes,60.0,0.82,14.98,0.38,1.6,Baby food: fruit,fruits,5.47,99.87,5.7,4.03,0.01,13.66,1.0,0.09,0.0
"Baby Toddler Multiple Fruit, Stage 2",68.0,0.68,16.44,0.21,1.7,Baby food: fruit,fruits,4.0,96.71,2.78,3.5,0.01,10.49,2.0,0.05,0.0
"Baby Toddler Multiple Fruit, Stage 3",68.0,0.68,16.44,0.21,1.7,Baby food: fruit,fruits,4.0,96.71,2.78,3.5,0.01,10.49,2.0,0.05,0.0
"Baby Toddler Peaches, Stage 1",65.0,0.94,14.48,0.33,1.3,Baby food: fruit,fruits,5.78,89.11,4.57,3.45,0.01,11.5,4.0,0.02,0.0
"Baby Toddler Peaches, Stage 2",65.0,0.94,14.48,0.33,1.3,Baby food: fruit,fruits,5.78,89.11,4.57,3.45,0.01,11.5,4.0,0.02,0.0
"Baby Toddler Pears, Stage 1",42.0,0.3,10.8,0.2,2.8,Baby food: fruit,fruits,2.86,100.0,4.29,7.38,0.01,6.98,1.0,0.01,0.0
"Baby Toddler Pears, Stage 2",44.0,0.3,11.6,0.1,2.8,Baby food: fruit,fruits,2.73,100.0,2.05,7.05,0.01,7.34,1.0,0.01,0.0
Baby Toddler Prunes,100.0,1.0,23.52,0.2,2.7,Baby food: fruit,fruits,4.0,94.08,1.8,3.7,0.01,14.28,1.0,0.02,0.0
Banana Chips,519.0,2.3,58.4,33.6,7.7,Dried fruits,fruits,1.77,45.01,58.27,1.93,0.0,35.34,6.0,28.97,0.0
Banana Nectar,74.0,0.26,18.01,0.13,0.6,Fruit drinks,fruits,1.41,97.35,1.58,1.16,0.0,15.51,2.0,0.04,0.0
"Banana, Baked",161.0,0.82,32.43,3.21,1.8,Bananas,fruits,2.04,80.57,17.94,1.63,0.01,24.74,3.0,1.73,8.0
"Banana, Raw",97.0,0.74,22.71,0.28,1.7,Bananas,fruits,3.05,93.65,2.6,2.52,0.01,15.8,0.0,0.11,0.0
"Beer, Nonalcoholic",37.0,0.21,8.05,0.12,0.0,Fruit drinks,fruits,2.27,87.03,2.92,0.57,0.01,8.05,13.0,0.02,0.0
"Berries,",44.0,0.66,9.94,0.25,2.0,Blueberries and other berries,fruits,6.0,90.36,5.11,6.05,0.02,6.21,0.0,0.01,0.0
"Berries, Frozen",52.0,0.76,12.47,0.34,4.1,Blueberries and other berries,fruits,5.85,95.92,5.88,9.35,0.01,6.59,1.0,0.02,0.0
"Blackberries, Frozen",64.0,1.18,15.67,0.43,5.0,Blueberries and other berries,fruits,7.38,97.94,6.05,9.66,0.02,10.67,1.0,0.02,0.0
"Blackberries, Raw",43.0,1.39,9.61,0.49,5.3,Blueberries and other berries,fruits,12.93,89.4,10.26,10.0,0.03,4.88,1.0,0.01,0.0
"Blackberry Juice, 100%",38.0,0.3,7.8,0.6,0.1,Other fruit juice,fruits,3.16,82.11,14.21,1.05,0.01,7.7,1.0,0.02,0.0
"Bluberries, Canned",88.0,1.04,22.66,0.4,2.6,Blueberries and other berries,fruits,4.73,100.0,4.09,4.14,0.01,17.45,3.0,0.03,0.0
"Blueberries, Dried",317.0,2.5,80.0,2.5,7.5,Dried fruits,fruits,3.15,100.0,7.1,3.15,0.01,67.5,3.0,0.2,0.0
"Blueberries, Frozen",51.0,0.42,12.17,0.64,2.7,Blueberries and other berries,fruits,3.29,95.45,11.29,6.12,0.01,8.45,1.0,0.05,0.0
"Blueberries, Raw",64.0,0.7,14.57,0.31,2.4,Blueberries and other berries,fruits,4.38,91.06,4.36,4.84,0.01,9.36,0.0,0.03,0.0
Blueberry Juice,42.0,0.46,9.47,0.2,1.6,Other fruit juice,fruits,4.38,90.19,4.29,4.9,0.01,6.08,1.0,0.02,0.0
Cantaloupe Nectar,65.0,0.33,15.64,0.11,0.3,Fruit drinks,fruits,2.03,96.25,1.52,0.97,0.01,15.55,13.0,0.02,0.0
"Cantaloupe, Raw",38.0,0.82,8.16,0.18,0.8,Melons,fruits,8.63,85.89,4.26,4.26,0.02,7.88,30.0,0.05,0.0
"Cherries, Dried",333.0,1.25,80.45,0.73,2.5,Dried fruits,fruits,1.5,96.64,1.97,1.13,0.0,67.15,13.0,0.15,0.0
"Clementine, Raw",53.0,0.81,13.34,0.31,1.8,Citrus fruits,fruits,6.11,100.0,5.26,4.92,0.02,10.58,2.0,0.04,0.0
"Coconut Water, Sweetened",37.0,0.21,9.07,0.02,0.0,Fruit drinks,fruits,2.27,98.05,0.49,0.57,0.01,8.78,25.0,0.0,0.0
"Coconut Water, Unsweetened",18.0,0.22,4.24,0.0,0.0,Fruit drinks,fruits,4.89,94.22,0.0,1.22,0.01,3.92,26.0,0.0,0.0
"Cranberries, Dried",308.0,0.17,82.8,1.09,5.3,Dried fruits,fruits,0.22,100.0,3.19,1.78,0.0,72.56,5.0,0.09,0.0
"Cranberries, Raw",46.0,0.46,11.97,0.13,3.6,Blueberries and other berries,fruits,4.0,100.0,2.54,8.83,0.01,4.27,2.0,0.01,0.0
"Cranberry Juice Blend, 100% Juice",46.0,0.12,11.16,0.18,0.2,Other fruit juice,fruits,1.04,97.04,3.52,0.7,0.0,9.04,7.0,0.02,0.0
"Cranberry Juice Blend, 100% Juice, With Calcium Added",45.0,0.27,10.91,0.12,0.1,Other fruit juice,fruits,2.4,96.98,2.4,0.82,0.01,9.8,6.0,0.0,0.0
"Cranberry Juice Drink, With High Vitamin C",54.0,0.0,13.52,0.1,0.0,Fruit drinks,fruits,0.0,100.0,1.67,0.0,0.0,11.87,2.0,0.01,0.0
"Cranberry Juice Drink, With High Vitamin C, Light",19.0,0.1,4.7,0.0,0.1,Fruit drinks,fruits,2.11,98.95,0.0,1.05,0.01,4.6,5.0,0.0,0.0
"Cranberry Juice, 100%, Not A Blend",32.0,0.0,7.26,0.34,0.1,Other fruit juice,fruits,0.0,90.75,9.56,0.31,0.0,3.41,6.0,0.01,0.0
Cranberry Sauce,159.0,0.9,40.4,0.15,1.1,Blueberries and other berries,fruits,2.26,100.0,0.85,1.26,0.01,31.75,5.0,0.01,0.0
"Currants, Dried",290.0,3.43,76.98,0.22,4.4,Dried fruits,fruits,4.73,100.0,0.68,2.7,0.01,62.28,43.0,0.08,0.0
Date,282.0,2.45,75.03,0.39,8.0,Dried fruits,fruits,3.48,100.0,1.24,3.71,0.01,63.35,2.0,0.03,0.0
"Dried, Fruit,",298.0,2.28,78.62,0.62,4.8,Dried fruits,fruits,3.06,100.0,1.87,2.38,0.01,66.33,32.0,0.1,0.0
"Fig, Dried",277.0,3.3,63.9,0.92,9.8,Dried fruits,fruits,4.77,92.27,2.99,4.73,0.01,47.9,10.0,0.14,0.0
Fruit Flavored Drink,64.0,0.0,16.03,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,15.85,36.0,0.0,0.0
"Fruit Flavored Drink, Powdered, Reconstituted",25.0,0.0,6.55,0.07,0.0,Fruit drinks,fruits,0.0,100.0,2.52,0.0,0.0,6.5,12.0,0.01,0.0
"Fruit Flavored Drink, With High Vitamin C",27.0,0.0,6.67,0.0,0.0,Fruit drinks,fruits,0.0,98.81,0.0,0.0,0.0,5.0,36.0,0.0,0.0
"Fruit Flavored Drink, With High Vitamin C, Powdered, Reconstituted",41.0,0.0,10.45,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,9.75,5.0,0.0,0.0
"Fruit Juice Blend, 100% Juice",50.0,0.16,12.46,0.12,0.2,Other fruit juice,fruits,1.28,99.68,2.16,0.72,0.0,10.92,7.0,0.02,0.0
"Fruit Juice Blend, Citrus, 100% Juice",47.0,0.77,10.18,0.34,0.3,Other fruit juice,fruits,6.55,86.64,6.51,2.28,0.02,8.18,2.0,0.01,0.0
Fruit Juice Drink,10.0,0.0,2.5,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,2.5,13.0,0.0,0.0
Fruit Juice Drink (Capri Sun),39.0,0.0,10.0,0.07,0.0,Fruit drinks,fruits,0.0,100.0,1.62,0.0,0.0,9.0,2.0,0.01,0.0
Fruit Juice Drink (Sunny D),54.0,0.13,13.16,0.0,0.1,Fruit drinks,fruits,0.96,97.48,0.0,0.43,0.0,12.11,61.0,0.0,0.0
"Fruit Juice Drink, Added Calcium (Sunny D)",53.0,0.0,13.2,0.0,0.1,Fruit drinks,fruits,0.0,99.62,0.0,0.19,0.0,8.02,54.0,0.0,0.0
"Fruit Juice Drink, Citrus, Carbonated",32.0,0.46,7.16,0.24,0.2,Fruit drinks,fruits,5.75,89.5,6.75,2.06,0.01,5.99,7.0,0.04,0.0
"Fruit Juice Drink, Diet",1.0,0.0,0.47,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"Fruit Juice Drink, Light",39.0,0.0,10.0,0.07,0.0,Fruit drinks,fruits,0.0,100.0,1.62,0.0,0.0,9.0,2.0,0.01,0.0
"Fruit Juice Drink, Noncitrus, Carbonated",33.0,0.07,7.74,0.18,0.1,Fruit drinks,fruits,0.85,93.82,4.91,0.52,0.0,6.38,12.0,0.01,0.0
"Fruit Juice Drink, With High Vitamin C",46.0,0.13,11.35,0.11,0.1,Fruit drinks,fruits,1.13,98.7,2.15,0.5,0.0,10.69,8.0,0.02,0.0
"Fruit Juice Drink, With High Vitamin C, Light",19.0,0.1,4.7,0.0,0.1,Fruit drinks,fruits,2.11,98.95,0.0,1.05,0.01,4.6,5.0,0.0,0.0
"Fruit Juice,",51.0,0.29,12.1,0.26,0.2,Other fruit juice,fruits,2.27,94.9,4.59,0.96,0.01,10.4,5.0,0.02,0.0
"Fruit Juice, Acai Blend",62.0,0.83,12.83,0.83,1.2,Fruit drinks,fruits,5.35,82.77,12.05,3.27,0.01,11.1,13.0,0.0,0.0
"Fruit Nectar,",51.0,0.11,13.12,0.06,0.3,Fruit drinks,fruits,0.86,100.0,1.06,0.8,0.0,12.45,5.0,0.01,0.0
"Fruit Punch, Made With Fruit Juice And Soda",44.0,0.18,10.82,0.06,0.1,Fruit drinks,fruits,1.64,98.36,1.23,0.64,0.0,9.44,4.0,0.0,0.0
"Grape Juice Drink, Light",23.0,0.06,5.51,0.1,0.1,Fruit drinks,fruits,1.04,95.83,3.91,0.7,0.0,4.99,5.0,0.01,0.0
"Grape Juice, 100%",66.0,0.18,15.73,0.28,0.2,Other fruit juice,fruits,1.09,95.33,3.82,0.58,0.0,14.24,6.0,0.02,0.0
"Grape Juice, 100%, With Calcium Added",62.0,0.37,14.77,0.13,0.2,Other fruit juice,fruits,2.39,95.29,1.89,0.92,0.01,14.2,5.0,0.02,0.0
"Grapefruit Juice, 100%, As To Form",40.0,0.56,8.35,0.48,0.2,Citrus juice,fruits,5.6,83.5,10.8,1.9,0.01,7.42,1.0,0.08,1.0
"Grapefruit Juice, 100%, Canned, Bottled Or In A Carton",40.0,0.56,8.35,0.48,0.2,Citrus juice,fruits,5.6,83.5,10.8,1.9,0.01,7.42,1.0,0.08,1.0
"Grapefruit Juice, 100%, Freshly Squeezed",39.0,0.5,9.2,0.1,0.1,Citrus juice,fruits,5.13,94.36,2.31,1.54,0.01,9.1,1.0,0.01,0.0
"Grapefruit Juice, 100%, With Calcium Added",39.0,0.51,7.74,0.68,0.3,Citrus juice,fruits,5.23,79.38,15.69,2.08,0.01,7.96,2.0,0.17,0.0
"Grapefruit, Canned",36.0,0.58,9.15,0.1,0.4,Citrus fruits,fruits,6.44,100.0,2.5,2.72,0.02,8.75,2.0,0.01,0.0
"Grapefruit, Raw",42.0,0.77,10.66,0.14,1.6,Citrus fruits,fruits,7.33,100.0,3.0,5.64,0.02,6.89,0.0,0.02,0.0
"Grapes, Raw",83.0,0.9,19.4,0.2,0.9,Grapes,fruits,4.34,93.49,2.17,2.17,0.01,16.74,5.0,0.05,0.0
Guava Nectar,48.0,0.3,13.3,0.07,1.2,Fruit drinks,fruits,2.5,100.0,1.31,3.12,0.01,10.15,6.0,0.02,0.0
"Honeydew Melon, Raw",36.0,0.54,9.09,0.14,0.8,Melons,fruits,6.0,100.0,3.5,3.72,0.02,8.12,18.0,0.04,0.0
"Kumquat, Raw",71.0,1.88,15.9,0.86,6.5,Citrus fruits,fruits,10.59,89.58,10.9,10.0,0.03,9.36,10.0,0.1,0.0
"Lemon, Raw",29.0,1.1,9.32,0.3,2.8,Citrus fruits,fruits,15.17,100.0,9.31,10.0,0.04,2.5,2.0,0.04,0.0
"Lemonade, Frozen Concentrate, Not Reconstituted",196.0,0.22,49.89,0.7,0.3,Fruit drinks,fruits,0.45,100.0,3.21,0.27,0.0,44.46,7.0,0.02,0.0
"Lemonade, Fruit Flavored Drink",25.0,0.0,6.55,0.07,0.0,Fruit drinks,fruits,0.0,100.0,2.52,0.0,0.0,6.5,12.0,0.01,0.0
"Lemonade, Fruit Juice Drink",46.0,0.0,12.08,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,11.67,6.0,0.0,0.0
"Lemonade, Fruit Juice Drink, Light",21.0,0.0,5.0,0.0,0.0,Fruit drinks,fruits,0.0,95.24,0.0,0.0,0.0,5.0,5.0,0.0,0.0
"Lime, Raw",30.0,0.7,10.54,0.2,2.8,Citrus fruits,fruits,9.33,100.0,6.0,10.0,0.02,1.69,2.0,0.02,0.0
Mango Nectar,51.0,0.11,13.12,0.06,0.3,Fruit drinks,fruits,0.86,100.0,1.06,0.8,0.0,12.45,5.0,0.01,0.0
"Mango, Dried",319.0,2.45,78.58,1.18,2.4,Dried fruits,fruits,3.07,98.53,3.33,1.52,0.01,66.27,162.0,0.29,0.0
"Margarita Mix, Nonalcoholic",87.0,0.1,21.4,0.1,0.0,Fruit drinks,fruits,0.46,98.39,1.03,0.11,0.0,21.4,102.0,0.01,0.0
"Melon, Frozen",35.0,0.66,8.27,0.16,0.7,Melons,fruits,7.54,94.51,4.11,3.89,0.02,7.4,16.0,0.04,0.0
"Orange Juice Beverage, 40-50% Juice, Light",21.0,0.21,5.42,0.0,0.0,Fruit drinks,fruits,4.0,100.0,0.0,1.0,0.01,4.17,4.0,0.0,0.0
"Orange Juice, 100%,",47.0,0.77,10.17,0.34,0.3,Citrus juice,fruits,6.55,86.55,6.51,2.28,0.02,8.18,2.0,0.01,0.0
"Orange Juice, 100%, Canned, Bottled Or In A Carton",47.0,0.77,10.18,0.34,0.3,Citrus juice,fruits,6.55,86.64,6.51,2.28,0.02,8.18,2.0,0.01,0.0
"Orange Juice, 100%, Freshly Squeezed",47.0,0.81,10.01,0.36,0.3,Citrus juice,fruits,6.89,85.19,6.89,2.36,0.02,8.08,0.0,0.01,0.0
"Orange Juice, 100%, Frozen, Not Reconstituted",148.0,2.4,35.19,0.25,1.0,Citrus juice,fruits,6.49,95.11,1.52,2.3,0.02,29.68,7.0,0.06,0.0
"Orange Juice, 100%, Frozen, Reconstituted",42.0,0.68,10.04,0.07,0.3,Citrus juice,fruits,6.48,95.62,1.5,2.33,0.02,8.47,5.0,0.02,0.0
"Orange Juice, 100%, With Calcium Added, Canned, Bottled Or In A Carton",47.0,0.77,10.17,0.34,0.3,Citrus juice,fruits,6.55,86.55,6.51,2.28,0.02,8.18,2.0,0.01,0.0
"Orange Juice, 100%, With Calcium Added, Frozen, Reconstituted",42.0,0.68,9.67,0.07,0.3,Citrus juice,fruits,6.48,92.1,1.5,2.33,0.02,8.48,5.0,0.02,0.0
"Orange, Canned,",46.0,0.6,11.82,0.04,0.7,Citrus fruits,fruits,5.22,100.0,0.78,2.83,0.01,11.14,5.0,0.0,0.0
"Orange, Canned, In Syrup",55.0,0.59,14.07,0.04,0.7,Citrus fruits,fruits,4.29,100.0,0.65,2.35,0.01,13.42,5.0,0.0,0.0
"Orange, Canned, Juice Pack",37.0,0.62,9.57,0.03,0.7,Citrus fruits,fruits,6.7,100.0,0.73,3.57,0.02,8.87,5.0,0.0,0.0
"Orange, Raw",50.0,0.92,11.78,0.14,2.2,Citrus fruits,fruits,7.36,94.24,2.52,6.24,0.02,8.96,4.0,0.02,0.0
"Papaya Juice, 100%",57.0,0.17,14.51,0.15,0.6,Other fruit juice,fruits,1.19,100.0,2.37,1.35,0.0,13.91,5.0,0.05,0.0
Papaya Nectar,57.0,0.17,14.51,0.15,0.6,Fruit drinks,fruits,1.19,100.0,2.37,1.35,0.0,13.91,5.0,0.05,0.0
"Papaya, Dried",302.0,1.25,75.43,0.84,4.5,Dried fruits,fruits,1.66,99.91,2.5,1.9,0.0,67.55,22.0,0.22,0.0
"Passion Fruit Juice, 100%",51.0,0.39,13.6,0.05,0.2,Other fruit juice,fruits,3.06,100.0,0.88,1.16,0.01,13.4,6.0,0.0,0.0
Passion Fruit Nectar,69.0,0.16,17.39,0.06,0.1,Fruit drinks,fruits,0.93,100.0,0.78,0.38,0.0,17.34,4.0,0.0,0.0
Peach Nectar,49.0,0.1,11.61,0.57,0.1,Fruit drinks,fruits,0.82,94.78,10.47,0.41,0.0,12.08,11.0,0.04,0.0
"Peach, Dried",239.0,3.61,61.33,0.76,8.2,Dried fruits,fruits,6.04,100.0,2.86,4.94,0.02,41.74,7.0,0.08,0.0
Pear Nectar,60.0,0.11,15.76,0.01,0.6,Fruit drinks,fruits,0.73,100.0,0.15,1.18,0.0,15.16,4.0,0.0,0.0
"Pear, Dried",262.0,1.87,69.7,0.63,7.5,Dried fruits,fruits,2.85,100.0,2.16,3.58,0.01,62.2,6.0,0.04,0.0
"Persimmon, Dried",374.0,1.54,96.07,0.66,9.6,Dried fruits,fruits,1.65,100.0,1.59,2.98,0.0,80.06,3.0,0.05,0.0
"Pina Colada, Nonalcoholic",128.0,0.47,25.64,2.79,0.2,Fruit drinks,fruits,1.47,80.12,19.62,0.52,0.0,23.17,8.0,2.54,0.0
"Pineapple Juice, 100%",53.0,0.36,12.87,0.12,0.2,Other fruit juice,fruits,2.72,97.13,2.04,1.06,0.01,9.98,2.0,0.01,0.0
"Pineapple, Canned,",55.0,0.42,13.91,0.12,0.7,Pineapple,fruits,3.05,100.0,1.96,2.04,0.01,13.07,2.0,0.01,0.0
"Pineapple, Canned, In Syrup",62.0,0.4,15.6,0.11,0.7,Pineapple,fruits,2.58,100.0,1.6,1.77,0.01,14.88,1.0,0.01,0.0
"Pineapple, Canned, Juice Pack",48.0,0.44,12.22,0.12,0.8,Pineapple,fruits,3.67,100.0,2.25,2.58,0.01,11.26,4.0,0.01,0.0
"Pineapple, Dried",347.0,1.22,84.11,0.71,2.4,Dried fruits,fruits,1.41,96.96,1.84,1.04,0.0,77.12,0.0,0.02,0.0
"Pineapple, Frozen",60.0,0.46,14.09,0.21,0.9,Pineapple,fruits,3.07,93.93,3.15,2.27,0.01,11.42,0.0,0.01,0.0
"Pineapple, Raw",60.0,0.46,14.09,0.21,0.9,Pineapple,fruits,3.07,93.93,3.15,2.27,0.01,11.42,0.0,0.01,0.0
"Pomegranate Juice Beverage, 40-50% Juice, Light",27.0,0.08,6.56,0.14,0.0,Fruit drinks,fruits,1.19,97.19,4.67,0.3,0.0,6.32,6.0,0.04,0.0
"Pomegranate Juice, 100%",54.0,0.15,13.13,0.29,0.1,Other fruit juice,fruits,1.11,97.26,4.83,0.46,0.0,12.65,9.0,0.08,0.0
"Prune Juice, 100%",71.0,0.61,17.45,0.03,1.0,Other fruit juice,fruits,3.44,98.31,0.38,2.27,0.01,16.45,4.0,0.0,0.0
"Prune, Dried",240.0,2.18,63.88,0.38,7.1,Dried fruits,fruits,3.63,100.0,1.42,3.87,0.01,38.13,2.0,0.09,0.0
Raisins,299.0,3.3,79.32,0.25,4.5,Dried fruits,fruits,4.41,100.0,0.75,2.61,0.01,65.18,26.0,0.09,0.0
"Raspberries, Frozen",57.0,1.01,12.9,0.19,6.5,Blueberries and other berries,fruits,7.09,90.53,3.0,10.0,0.02,2.68,0.0,0.02,0.0
"Raspberries, Raw",57.0,1.01,12.9,0.19,6.5,Blueberries and other berries,fruits,7.09,90.53,3.0,10.0,0.02,2.68,0.0,0.02,0.0
Shirley Temple,56.0,0.0,14.17,0.0,0.1,Fruit drinks,fruits,0.0,100.0,0.0,0.18,0.0,12.55,9.0,0.0,0.0
Slush Frozen Drink,28.0,0.0,7.68,0.02,0.0,Fruit drinks,fruits,0.0,100.0,0.64,0.0,0.0,7.68,10.0,0.0,0.0
"Soursop, Nectar",59.0,0.11,14.93,0.17,0.1,Fruit drinks,fruits,0.75,100.0,2.59,0.36,0.0,13.07,8.0,0.03,0.0
