Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Crackers, Butter, Flavored",510.0,6.64,61.3,26.43,2.3,"Crackers, excludes saltines",quick_carbs,5.21,48.08,46.64,1.75,0.01,8.18,726.0,5.56,0.0
"Crackers, Butter, Plain",510.0,6.64,61.3,26.43,2.3,"Crackers, excludes saltines",quick_carbs,5.21,48.08,46.64,1.75,0.01,8.18,726.0,5.56,0.0
"Crackers, Butter, Reduced Sodium",443.0,8.8,68.6,17.2,10.5,"Crackers, excludes saltines",quick_carbs,7.95,61.94,34.94,4.36,0.02,0.37,186.0,3.39,0.0
"Crackers, Butter, Reduced-Fat",444.0,9.34,71.52,13.37,3.4,"Crackers, excludes saltines",quick_carbs,8.41,64.43,27.1,2.87,0.02,15.01,776.0,2.11,0.0
"Crackers, Cheese",489.0,10.93,59.42,22.74,2.3,"Crackers, excludes saltines",quick_carbs,8.94,48.61,41.85,2.71,0.02,4.53,973.0,5.29,3.0
"Crackers, Cheese (Cheez-It)",489.0,10.93,59.42,22.74,2.3,"Crackers, excludes saltines",quick_carbs,8.94,48.61,41.85,2.71,0.02,4.53,973.0,5.29,3.0
"Crackers, Cheese (Goldfish)",489.0,10.93,59.42,22.74,2.3,"Crackers, excludes saltines",quick_carbs,8.94,48.61,41.85,2.71,0.02,4.53,973.0,5.29,3.0
"Crackers, Cheese, Reduced Sodium",503.0,10.1,58.2,25.3,2.4,"Crackers, excludes saltines",quick_carbs,8.03,46.28,45.27,2.49,0.02,0.28,458.0,9.64,13.0
"Crackers, Cheese, Reduced-Fat",418.0,10.0,68.19,11.67,3.3,"Crackers, excludes saltines",quick_carbs,9.57,65.25,25.13,3.18,0.02,0.0,1167.0,3.33,0.0
"Crackers, Cheese, Whole Grain",412.0,9.62,57.29,16.03,6.4,"Crackers, excludes saltines",quick_carbs,9.34,55.62,35.02,3.89,0.02,0.0,706.0,3.21,16.0
"Crackers, Crispbread",366.0,7.9,82.2,1.3,16.5,"Crackers, excludes saltines",quick_carbs,8.63,89.84,3.2,6.67,0.02,1.07,410.0,0.14,0.0
"Crackers, Flatbread",412.0,9.85,75.23,8.25,10.2,"Crackers, excludes saltines",quick_carbs,9.56,73.04,18.02,4.87,0.02,2.92,632.0,0.74,0.0
"Crackers, Gluten Free, Flavored",453.0,11.25,66.3,15.84,10.2,"Crackers, excludes saltines",quick_carbs,9.93,58.54,31.47,4.74,0.02,0.86,438.0,2.07,0.0
"Crackers, Gluten Free, Plain",453.0,11.25,66.3,15.84,10.2,"Crackers, excludes saltines",quick_carbs,9.93,58.54,31.47,4.74,0.02,0.86,438.0,2.07,0.0
"Crackers, Matzo",395.0,10.0,83.7,1.4,3.0,"Crackers, excludes saltines",quick_carbs,10.13,84.76,3.19,3.29,0.03,0.29,0.0,0.23,0.0
"Crackers, Matzo, Reduced Sodium",395.0,10.0,83.7,1.4,3.0,"Crackers, excludes saltines",quick_carbs,10.13,84.76,3.19,3.29,0.03,0.29,0.0,0.23,0.0
"Crackers, Milk",446.0,7.6,71.73,13.77,3.4,"Crackers, excludes saltines",quick_carbs,6.82,64.33,27.79,2.47,0.02,10.32,687.0,2.91,11.0
"Crackers, Multigrain",482.0,7.1,67.6,20.4,3.5,"Crackers, excludes saltines",quick_carbs,5.89,56.1,38.09,2.2,0.01,12.0,883.0,3.3,0.0
"Crackers, Oatmeal",455.0,7.3,70.73,16.4,6.9,"Crackers, excludes saltines",quick_carbs,6.42,62.18,32.44,3.12,0.02,15.48,699.0,3.21,0.0
"Crackers, Oyster",418.0,9.46,74.05,8.64,2.8,Saltine crackers,quick_carbs,9.05,70.86,18.6,2.93,0.02,1.29,941.0,1.65,0.0
"Crackers, Rice",416.0,10.0,82.64,5.0,0.0,"Crackers, excludes saltines",quick_carbs,9.62,79.46,10.82,2.4,0.02,0.0,233.0,0.0,0.0
"Crackers, Rice And Nuts",430.0,10.78,77.41,8.85,0.8,"Crackers, excludes saltines",quick_carbs,10.03,72.01,18.52,2.69,0.03,0.37,360.0,0.34,0.0
"Crackers, Saltine",418.0,9.46,74.05,8.64,2.8,Saltine crackers,quick_carbs,9.05,70.86,18.6,2.93,0.02,1.29,941.0,1.65,0.0
"Crackers, Saltine, Multigrain",398.0,7.14,68.25,10.71,6.7,Saltine crackers,quick_carbs,7.18,68.59,24.22,3.48,0.02,0.0,1214.0,0.0,0.0
"Crackers, Saltine, Reduced Sodium",416.0,9.39,73.48,8.75,2.9,Saltine crackers,quick_carbs,9.03,70.65,18.93,2.95,0.02,2.19,646.0,1.98,0.0
"Crackers, Saltine, Reduced-Fat",393.0,10.5,82.3,1.6,2.7,Saltine crackers,quick_carbs,10.69,83.77,3.66,3.36,0.03,0.38,849.0,0.24,0.0
"Crackers, Sandwich",494.0,11.47,58.38,24.54,2.3,"Crackers, excludes saltines",quick_carbs,9.29,47.27,44.71,2.79,0.02,10.5,801.0,4.8,0.0
"Crackers, Sandwich, Cheese Filled",477.0,9.3,61.7,21.1,1.9,"Crackers, excludes saltines",quick_carbs,7.8,51.74,39.81,2.35,0.02,3.18,978.0,6.12,2.0
"Crackers, Sandwich, Cheese Filled (Ritz)",479.0,7.66,56.05,25.09,2.5,"Crackers, excludes saltines",quick_carbs,6.4,46.81,47.14,2.12,0.02,9.92,595.0,5.27,1.0
"Crackers, Sandwich, Peanut Butter Filled",494.0,11.47,58.38,24.54,2.3,"Crackers, excludes saltines",quick_carbs,9.29,47.27,44.71,2.79,0.02,10.5,801.0,4.8,0.0
"Crackers, Sandwich, Peanut Butter Filled (Ritz)",482.0,7.5,57.14,25.0,2.5,"Crackers, excludes saltines",quick_carbs,6.22,47.42,46.68,2.07,0.02,10.0,575.0,5.06,0.0
"Crackers, Sandwich, Reduced-Fat, Peanut Butter Filled",437.0,8.33,63.49,16.67,2.8,"Crackers, excludes saltines",quick_carbs,7.62,58.11,34.33,2.55,0.02,11.11,639.0,2.78,0.0
"Crackers, Water",384.0,7.14,72.81,7.14,7.1,"Crackers, excludes saltines",quick_carbs,7.44,75.84,16.73,3.71,0.02,0.0,571.0,0.0,0.0
"Crackers, Wheat",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Wheat, Flavored (Wheat Thins)",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Wheat, Plain (Wheat Thins)",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Wheat, Reduced Sodium",443.0,8.8,68.6,17.2,10.5,"Crackers, excludes saltines",quick_carbs,7.95,61.94,34.94,4.36,0.02,0.37,186.0,3.39,0.0
"Crackers, Wheat, Reduced-Fat",444.0,9.34,71.52,13.37,3.4,"Crackers, excludes saltines",quick_carbs,8.41,64.43,27.1,2.87,0.02,15.01,776.0,2.11,0.0
"Crackers, Whole Grain, Sandwich, Peanut Butter Filled",465.0,14.12,54.59,21.18,9.4,"Crackers, excludes saltines",quick_carbs,12.15,46.96,40.99,5.06,0.03,9.41,635.0,4.53,0.0
"Crackers, Wonton",521.0,10.33,51.9,31.72,1.9,"Crackers, excludes saltines",quick_carbs,7.93,39.85,54.79,2.35,0.02,0.25,378.0,4.93,0.0
"Crackers, Woven Wheat",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Woven Wheat, Flavored (Triscuit)",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Woven Wheat, Plain (Triscuit)",441.0,8.94,70.14,15.26,8.6,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,3.98,0.02,8.34,750.0,2.64,0.0
"Crackers, Woven Wheat, Reduced Sodium",443.0,8.8,68.6,17.2,10.5,"Crackers, excludes saltines",quick_carbs,7.95,61.94,34.94,4.36,0.02,0.37,186.0,3.39,0.0
"Crackers, Woven Wheat, Reduced-Fat",416.0,11.34,75.52,7.59,10.9,"Crackers, excludes saltines",quick_carbs,10.9,72.62,16.42,5.35,0.03,1.22,745.0,1.07,0.0
Cream Of Rice,69.0,1.17,15.28,0.09,0.1,Grits and other cooked cereals,quick_carbs,6.78,88.58,1.17,1.84,0.02,0.06,69.0,0.02,0.0
"Cream Of Wheat,",65.0,1.44,10.39,1.8,0.5,Grits and other cooked cereals,quick_carbs,8.86,63.94,24.92,2.98,0.02,0.04,83.0,0.72,3.0
"Cream Of Wheat, Instant, Made With Water, Fat Added",82.0,1.5,14.06,2.09,0.5,Grits and other cooked cereals,quick_carbs,7.32,68.59,22.94,2.44,0.02,3.56,98.0,0.84,4.0
"Cream Of Wheat, Instant, Made With Water, No Added Fat",67.0,1.52,14.42,0.21,0.5,Grits and other cooked cereals,quick_carbs,9.07,86.09,2.82,3.01,0.02,3.64,85.0,0.03,0.0
"Cream Of Wheat, Regular Or Quick, Made With Water, Fat Added",65.0,1.44,10.39,1.8,0.5,Grits and other cooked cereals,quick_carbs,8.86,63.94,24.92,2.98,0.02,0.04,83.0,0.72,3.0
"Cream Of Wheat, Regular Or Quick, Made With Water, No Added Fat",51.0,1.45,10.57,0.21,0.5,Grits and other cooked cereals,quick_carbs,11.37,82.9,3.71,3.82,0.03,0.03,72.0,0.03,0.0
"Crepe,",224.0,8.85,22.02,11.29,0.6,"Pancakes, waffles, French toast",quick_carbs,15.8,39.32,45.36,4.22,0.04,4.48,278.0,3.44,153.0
"Crepe, Chocolate Filled",170.0,4.87,22.92,6.52,0.2,"Pancakes, waffles, French toast",quick_carbs,11.46,53.93,34.52,2.98,0.03,12.25,219.0,1.85,63.0
"Crepe, Fruit Filled",188.0,4.57,26.55,7.12,1.2,"Pancakes, waffles, French toast",quick_carbs,9.72,56.49,34.09,3.07,0.02,15.98,176.0,1.78,74.0
"Crepe, Plain",224.0,8.85,22.02,11.29,0.6,"Pancakes, waffles, French toast",quick_carbs,15.8,39.32,45.36,4.22,0.04,4.48,278.0,3.44,153.0
Croutons,465.0,10.8,63.5,18.3,5.0,"Crackers, excludes saltines",quick_carbs,9.29,54.62,35.42,3.4,0.02,4.41,1333.0,5.25,7.0
"Dosa, Plain",210.0,5.7,37.04,4.05,1.8,"Pancakes, waffles, French toast",quick_carbs,10.86,70.55,17.36,3.57,0.03,0.3,309.0,0.58,0.0
"Dosa, With Filling",184.0,5.46,30.8,4.27,2.2,"Pancakes, waffles, French toast",quick_carbs,11.87,66.96,20.89,4.16,0.03,1.1,330.0,0.58,0.0
"Dumpling, No Meat",125.0,3.45,20.49,3.37,0.7,"Biscuits, muffins, quick breads",quick_carbs,11.04,65.57,24.26,3.32,0.03,1.23,428.0,0.96,2.0
Flavored Pasta,87.0,2.47,14.45,2.21,0.4,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,11.36,66.44,22.86,3.3,0.03,0.99,174.0,0.44,0.0
"Focaccia, Italian, Plain",249.0,8.77,35.82,7.89,1.8,Yeast breads,quick_carbs,14.09,57.54,28.52,4.24,0.04,1.75,561.0,0.88,0.0
French Toast Sticks,278.0,7.52,40.62,9.18,1.3,"Pancakes, waffles, French toast",quick_carbs,10.82,58.45,29.72,3.17,0.03,12.86,535.0,1.68,20.0
"French Toast Sticks, Fast Food / Restaurant",400.0,7.06,48.48,20.87,1.6,"Pancakes, waffles, French toast",quick_carbs,7.06,48.48,46.96,2.16,0.02,11.64,471.0,4.69,0.0
"French Toast Sticks, School",162.0,9.15,22.65,3.8,2.9,"Pancakes, waffles, French toast",quick_carbs,22.59,55.93,21.11,7.44,0.06,3.46,245.0,1.09,76.0
"French Toast,",273.0,10.36,32.34,11.38,1.2,"Pancakes, waffles, French toast",quick_carbs,15.18,47.38,37.52,4.23,0.04,10.08,302.0,3.25,177.0
"French Toast, Fast Food / Restaurant",310.0,9.84,35.71,14.3,1.3,"Pancakes, waffles, French toast",quick_carbs,12.7,46.08,41.52,3.59,0.03,10.08,357.0,4.75,145.0
"French Toast, Frozen",183.0,7.24,29.89,3.82,1.1,"Pancakes, waffles, French toast",quick_carbs,15.83,65.33,18.79,4.56,0.04,9.01,243.0,1.2,67.0
"French Toast, Gluten Free",264.0,7.79,30.62,12.21,2.2,"Pancakes, waffles, French toast",quick_carbs,11.8,46.39,41.63,3.78,0.03,9.17,300.0,3.33,177.0
"French Toast, Plain",273.0,10.36,32.34,11.38,1.2,"Pancakes, waffles, French toast",quick_carbs,15.18,47.38,37.52,4.23,0.04,10.08,302.0,3.25,177.0
"French Toast, School",162.0,9.15,22.65,3.8,2.9,"Pancakes, waffles, French toast",quick_carbs,22.59,55.93,21.11,7.44,0.06,3.46,245.0,1.09,76.0
"French Toast, Whole Grain",271.0,11.34,30.44,11.57,2.7,"Pancakes, waffles, French toast",quick_carbs,16.74,44.93,38.42,5.18,0.04,10.01,297.0,3.2,177.0
"Fritter, Corn",404.0,7.37,33.55,27.14,1.6,"Biscuits, muffins, quick breads",quick_carbs,7.3,33.22,60.46,2.22,0.02,3.03,339.0,5.61,67.0
"Garlic Bread,",349.0,8.34,41.64,16.58,2.5,Yeast breads,quick_carbs,9.56,47.72,42.76,3.11,0.02,3.68,620.0,5.27,0.0
"Garlic Bread, From Fast Food / Restaurant",349.0,8.34,41.64,16.58,2.5,Yeast breads,quick_carbs,9.56,47.72,42.76,3.11,0.02,3.68,620.0,5.27,0.0
"Garlic Bread, From Frozen",350.0,8.36,41.72,16.61,2.5,Yeast breads,quick_carbs,9.55,47.68,42.71,3.1,0.02,3.69,544.0,5.28,0.0
"Garlic Bread, With Melted Cheese, From Fast Food / Restaurant",339.0,11.41,34.21,17.34,2.0,Yeast breads,quick_carbs,13.46,40.37,46.04,3.96,0.03,3.31,636.0,6.55,13.0
"Garlic Bread, With Melted Cheese, From Frozen",343.0,10.36,36.86,17.1,2.2,Yeast breads,quick_carbs,12.08,42.99,44.87,3.66,0.03,3.44,564.0,6.12,8.0
"Garlic Bread, With Parmesan Cheese, From Fast Food / Restaurant",351.0,8.76,41.06,16.8,2.4,Yeast breads,quick_carbs,9.98,46.79,43.08,3.18,0.02,3.61,642.0,5.47,2.0
"Garlic Bread, With Parmesan Cheese, From Frozen",351.0,8.78,41.14,16.83,2.5,Yeast breads,quick_carbs,10.01,46.88,43.15,3.21,0.03,3.62,568.0,5.48,2.0
"Gnocchi, Cheese",178.0,8.51,9.38,11.96,0.2,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,19.12,21.08,60.47,4.89,0.05,0.14,263.0,4.34,68.0
"Gnocchi, Potato",135.0,2.44,17.2,6.33,1.0,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,7.23,50.96,42.2,2.55,0.02,0.99,279.0,3.42,18.0
"Grits,",71.0,1.19,12.2,1.84,0.7,Grits and other cooked cereals,quick_carbs,6.7,68.73,23.32,2.66,0.02,0.1,81.0,0.73,3.0
"Grits, Instant, Made With Water, As To Fat",85.0,1.36,14.36,2.85,0.8,Grits and other cooked cereals,quick_carbs,6.4,67.58,30.18,2.54,0.02,0.29,228.0,1.13,5.0
"Grits, Instant, Made With Water, Fat Added",85.0,1.36,14.36,2.85,0.8,Grits and other cooked cereals,quick_carbs,6.4,67.58,30.18,2.54,0.02,0.29,228.0,1.13,5.0
"Grits, Instant, Made With Water, No Added Fat",65.0,1.38,14.84,0.4,0.8,Grits and other cooked cereals,quick_carbs,8.49,91.32,5.54,3.35,0.02,0.29,215.0,0.07,0.0
"Grits, Regular Or Quick, Made With Water, As To Fat",71.0,1.19,12.2,1.84,0.7,Grits and other cooked cereals,quick_carbs,6.7,68.73,23.32,2.66,0.02,0.1,81.0,0.73,3.0
"Grits, Regular Or Quick, Made With Water, Fat Added",71.0,1.19,12.2,1.84,0.7,Grits and other cooked cereals,quick_carbs,6.7,68.73,23.32,2.66,0.02,0.1,81.0,0.73,3.0
