Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Sweet Potato, Baked, No Added Fat",complex_carbs,82.0,1.64,17.98,0.39,3.1,6.29,154.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.234,5.78,0.02,Other red and orange vegetables,vegetables,8.0,87.71,4.28,0.02,0.0,13
"Pasta, Whole Grain, With Tomato-Based Sauce, Ready-To-Heat",complex_carbs,116.0,3.7,19.05,3.38,2.8,2.97,340.0,4,2,7,4,4,3,"breakfast, pre_workout",80-120g,10.18,5.6,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,12.76,65.69,26.22,0.44,1.0,13
"Corn Flour Patty Or Tart, Fried",complex_carbs,218.0,3.98,41.18,4.64,3.0,5.91,483.0,5,3,6,6,6,0,breakfast,80-120g,10.16,3.2,0.02,"Biscuits, muffins, quick breads",quick_carbs,7.3,75.56,19.16,0.64,0.0,14
"Sweet Potato, Candied",complex_carbs,187.0,1.18,37.69,3.48,2.2,29.38,121.0,4,4,7,6,6,0,"breakfast, pre_workout",80-120g,10.143,1.81,0.01,Other red and orange vegetables,vegetables,2.52,80.62,16.75,0.83,3.0,15
"Bread, Sweet Potato, Toasted",complex_carbs,265.0,9.5,49.87,3.15,1.9,3.88,521.0,1,6,6,6,6,0,"breakfast, lunch, dinner",80-120g,10.09,4.3,0.04,Yeast breads,quick_carbs,14.34,75.28,10.7,1.06,4.0,13
"Lotus Root, Cooked",complex_carbs,87.0,1.54,15.51,2.61,3.0,0.49,165.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.065999999999999,5.22,0.02,Other vegetables and combinations,vegetables,7.08,71.31,27.0,0.69,2.0,13
"Parsnips, Cooked",complex_carbs,92.0,1.29,16.47,2.84,3.5,4.65,131.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.062999999999999,5.21,0.01,Other vegetables and combinations,vegetables,5.61,71.61,27.78,0.72,2.0,13
"Pasta, Whole Grain, With Cream Sauce And Poultry, Restaurant",complex_carbs,202.0,5.92,15.03,13.7,1.9,0.68,563.0,2,5,7,5,6,0,breakfast,80-120g,10.061,3.87,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,11.72,29.76,61.04,4.27,24.0,14
"Pasta, Whole Grain, With Cream Sauce And Seafood, Restaurant",complex_carbs,197.0,5.5,15.28,13.2,1.9,0.68,573.0,2,5,7,5,6,0,"breakfast, pre_workout, snack",80-120g,10.028,3.76,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,11.17,31.03,60.3,4.13,28.0,14
"Pretzels, Soft, Gluten Free, Coated Or Flavored",complex_carbs,326.0,4.1,54.15,10.37,3.7,3.56,808.0,2,6,4,9,6,0,breakfast,80-120g,10.017,2.39,0.01,Pretzels/snack mix,other,5.03,66.44,28.63,4.76,13.0,12
