Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Beef With Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Tomato-Based Sauce",vegetables,110.0,8.24,4.48,6.99,1.7,2.51,300.0,5,5,8,0,0,7,"lunch, dinner, snack",150-200g,12.011999999999999,9.04,0.07,Meat mixed dishes,other,29.96,16.29,57.19,1.45,21.0,18
"Shrimp And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,116.0,9.16,5.15,6.4,1.2,1.5,247.0,5,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.979,8.93,0.08,Stir-fry and soy-based sauce mixtures,other,31.59,17.76,49.66,0.97,72.0,18
"Shrimp And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Soy-Based Sauce",vegetables,118.0,9.47,4.86,6.64,1.0,1.56,242.0,5,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.961,8.87,0.08,Stir-fry and soy-based sauce mixtures,other,32.1,16.47,50.64,1.01,74.0,18
"Shrimp And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, No Sauce",vegetables,124.0,9.25,6.78,6.87,1.3,1.2,41.0,5,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.853,8.51,0.07,Seafood mixed dishes,lean_proteins,29.84,21.87,49.86,1.03,77.0,18
"Beef Taco Filling: Beef, Cheese, Tomato, Taco Sauce",vegetables,181.0,12.97,6.37,11.32,0.9,4.06,473.0,4,6,7,1,2,6,"lunch, dinner, snack",150-200g,11.798,7.66,0.07,Burritos and tacos,other,28.66,14.08,56.29,5.26,44.0,17
"Pork, Rice, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Soy-Based Sauce",vegetables,144.0,9.96,7.9,7.89,1.1,1.31,222.0,5,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.604,7.68,0.07,Stir-fry and soy-based sauce mixtures,other,27.67,21.94,49.31,1.73,24.0,18
Lasagna With Meat And Spinach,vegetables,207.0,13.33,13.76,10.79,1.1,2.16,412.0,4,6,7,1,2,6,"lunch, dinner",150-200g,11.591,6.97,0.06,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,25.76,26.59,46.91,5.44,42.0,17
"Chicken Or Turkey And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, No Sauce",vegetables,118.0,9.66,2.88,7.78,1.4,1.22,386.0,4,5,7,0,0,7,"lunch, dinner, snack",150-200g,11.311,9.37,0.08,Poultry mixed dishes,other,32.75,9.76,59.34,1.29,37.0,16
"Green Peas, Frozen, Cooked, No Added Fat",vegetables,78.0,5.14,14.22,0.27,4.5,4.39,188.0,7,1,6,0,0,9,"pre_workout, lunch, dinner, snack",150-200g,11.3,10.0,0.07,Other starchy vegetables,vegetables,26.36,72.92,3.12,0.05,0.0,14
"Chicken Or Turkey, Rice, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Soy-Based Sauce",vegetables,131.0,9.36,7.95,6.92,1.1,1.36,307.0,4,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.294,7.98,0.07,Stir-fry and soy-based sauce mixtures,other,28.58,24.27,47.54,1.15,33.0,17
