Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Cookie, Vanilla Sandwich, Reduced-Fat",healthy_fats,423.0,4.17,78.16,10.42,2.1,37.5,354.0,0,7,3,9,3,0,flexible,30-50g,8.044,1.48,0.01,Cookies and brownies,energy_dense,3.94,73.91,22.17,3.18,0.0,10
"Cream Cheese, Regular, Plain",healthy_fats,343.0,5.79,4.56,33.49,0.0,3.76,368.0,0,6,3,7,5,0,flexible,30-50g,7.707,1.69,0.02,"Cream cheese, sour cream, whipped cream",dairy_proteins,6.75,5.32,87.87,19.7,101.0,9
"Cookie, Vanilla Sandwich, Extra Filling",healthy_fats,497.0,4.33,68.2,24.52,2.7,46.0,351.0,0,7,2,9,3,0,flexible,30-50g,7.622999999999999,1.41,0.01,Cookies and brownies,energy_dense,3.48,54.89,44.4,5.45,0.0,9
"Cookie, Chocolate, Sandwich, With Extra Filling",healthy_fats,497.0,4.33,68.2,24.52,2.7,46.0,351.0,0,7,2,9,3,0,flexible,30-50g,7.622999999999999,1.41,0.01,Cookies and brownies,energy_dense,3.48,54.89,44.4,5.45,0.0,9
"Cookie, Chocolate, With Icing Or Coating",healthy_fats,507.0,4.5,67.87,24.2,2.3,32.0,380.0,0,7,2,9,3,0,flexible,30-50g,7.601999999999999,1.34,0.01,Cookies and brownies,energy_dense,3.55,53.55,42.96,16.5,0.0,9
"Cream, Heavy",healthy_fats,343.0,2.02,3.8,35.56,0.0,2.92,21.0,1,6,1,7,5,0,flexible,30-50g,6.977,0.59,0.01,Cream and cream substitutes,other,2.36,4.43,93.31,20.4,103.0,8
"Cream, Whipped",healthy_fats,346.0,1.9,9.49,33.45,0.0,8.55,20.0,1,6,1,7,5,0,flexible,30-50g,6.965,0.55,0.01,"Cream cheese, sour cream, whipped cream",dairy_proteins,2.2,10.97,87.01,19.19,97.0,8
Hollandaise Sauce,healthy_fats,546.0,5.4,1.03,57.98,0.0,0.77,329.0,0,6,3,7,3,0,flexible,30-50g,6.897,0.99,0.01,"Dips, gravies, other sauces",other,3.96,0.75,95.57,30.23,466.0,9
"Oil Or Table Fat,",healthy_fats,789.0,0.29,0.18,87.67,0.0,0.17,296.0,1,6,1,7,3,0,flexible,30-50g,6.212,0.04,0.0,Margarine,other,0.15,0.09,100.0,22.94,71.0,8
"Ghee, Clarified Butter",healthy_fats,876.0,0.28,0.0,99.48,0.0,0.0,2.0,1,6,1,7,3,0,flexible,30-50g,6.209,0.03,0.0,Butter and animal fats,other,0.13,0.0,100.0,61.92,256.0,8
