Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pork And Vegetables, Hawaiian Style",weight_loss_friendly,89.0,7.43,6.97,3.64,1.9,2.21,202.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.08,Stir-fry and soy-based sauce mixtures,other,33.39,31.33,36.81,0.98,18.0,10
"Milk, Evaporated, Fat-Free (Skim)",weight_loss_friendly,78.0,7.55,11.35,0.2,0.0,11.35,115.0,5,1,4,0,0,7,"pre_workout, snack",100g,9.004,9.68,0.1,"Milk, nonfat",dairy_proteins,38.72,58.21,2.31,0.12,4.0,10
Refried Beans,weight_loss_friendly,90.0,4.98,13.55,2.01,3.7,0.54,370.0,6,1,3,0,0,7,pre_workout,100g,8.991999999999999,9.64,0.06,"Beans, peas, legumes",complex_carbs,22.13,60.22,20.1,0.63,0.0,10
"Soup, Sopa Or Caldo De Res",weight_loss_friendly,71.0,5.91,4.04,3.4,0.8,1.1,294.0,5,1,4,0,0,7,snack,100g,8.934999999999999,9.45,0.08,"Soups, broth-based",other,33.3,22.76,43.1,1.29,18.0,10
"Salsify, Cooked",weight_loss_friendly,89.0,2.65,14.88,2.71,3.0,2.81,136.0,7,1,4,0,0,7,pre_workout,100g,8.805,6.35,0.03,Other vegetables and combinations,vegetables,11.91,66.88,27.4,0.71,2.0,12
Soy Sauce,weight_loss_friendly,53.0,8.14,4.93,0.57,0.8,0.4,5493.0,4,2,3,0,0,7,snack,100g,8.7,10.0,0.15,Soy-based condiments,other,61.43,37.21,9.68,0.07,0.0,9
"Soy Sauce, Reduced Sodium",weight_loss_friendly,57.0,9.05,5.59,0.3,0.7,0.5,3598.0,4,2,3,0,0,7,snack,100g,8.7,10.0,0.16,Soy-based condiments,other,63.51,39.23,4.74,0.04,0.0,9
Cabbage With Ham Hocks,weight_loss_friendly,75.0,7.75,4.9,2.58,1.7,2.69,344.0,4,1,4,0,0,7,snack,100g,8.7,10.0,0.1,Meat mixed dishes,other,41.33,26.13,30.96,0.81,20.0,9
"Gumbo, No Rice",weight_loss_friendly,83.0,8.54,4.03,3.68,0.9,1.83,433.0,4,2,3,0,0,7,snack,100g,8.7,10.0,0.1,Seafood mixed dishes,lean_proteins,41.16,19.42,39.9,0.82,33.0,9
Spaghetti Sauce With Poultry And Added Vegetables,weight_loss_friendly,71.0,6.39,6.05,2.39,1.4,4.03,331.0,4,1,4,0,0,7,snack,100g,8.7,10.0,0.09,"Pasta sauces, tomato-based",quick_carbs,36.0,34.08,30.3,0.48,19.0,9
