Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Asparagus, Canned, Cooked, Fat Added, As To Fat Type",balanced_foods,41.0,2.09,2.39,3.18,1.6,1.03,287.0,5,1,2,0,0,3,"lunch, dinner",100g,6.800000000000001,9.0,0.05,Other vegetables and combinations,vegetables,20.39,23.32,69.8,0.81,2.0,8
"Poke Greens, Cooked",balanced_foods,42.0,2.24,3.01,2.93,1.5,1.55,138.0,5,1,2,0,0,3,"lunch, dinner",100g,6.77,8.9,0.05,Other dark green vegetables,vegetables,21.33,28.67,62.79,0.76,2.0,8
"Corn, Frozen, Cooked With Butter Or Margarine",balanced_foods,98.0,2.48,18.69,2.84,2.3,2.98,131.0,5,2,4,0,0,3,"breakfast, pre_workout, lunch, dinner",100g,6.764000000000001,4.88,0.03,Corn,other,10.12,76.29,26.08,1.04,4.0,11
"Greek Salad, No Dressing",balanced_foods,48.0,2.75,4.35,2.26,1.5,1.43,246.0,5,1,2,0,0,3,"lunch, dinner",100g,6.755000000000001,8.85,0.06,Vegetable dishes,other,22.92,36.25,42.37,0.86,6.0,8
"Soup, Chicken, Canned",balanced_foods,33.0,2.02,4.86,0.72,0.9,1.23,266.0,5,1,2,0,0,3,"lunch, dinner",100g,6.755000000000001,8.85,0.06,"Soups, broth-based",other,24.48,58.91,19.64,0.15,6.0,8
"Oatmeal, Regular Or Quick, Made With Non-Dairy Milk, Fat Added",balanced_foods,107.0,3.31,14.18,4.21,1.8,2.18,127.0,5,1,5,0,0,3,"pre_workout, lunch, dinner",100g,6.734,4.78,0.03,Oatmeal,complex_carbs,12.37,53.01,35.41,1.01,3.0,11
"Beets, Canned, Cooked, No Added Fat",balanced_foods,31.0,0.91,7.21,0.14,1.8,5.51,194.0,5,1,2,0,0,3,"lunch, dinner",100g,6.7219999999999995,8.74,0.03,Other vegetables and combinations,vegetables,11.74,93.03,4.06,0.02,0.0,8
"Soup, Beef",balanced_foods,47.0,3.28,4.04,2.05,0.8,1.1,249.0,5,1,2,0,0,3,"lunch, dinner",100g,6.704000000000001,8.68,0.07,"Soups, broth-based",other,27.91,34.38,39.26,0.69,9.0,8
"Soup, Seaweed",balanced_foods,37.0,3.73,1.52,1.87,0.2,0.47,324.0,4,1,2,0,0,3,"lunch, dinner",100g,6.700000000000001,10.0,0.1,Ramen and Asian broth-based soups,other,40.32,16.43,45.49,0.7,10.0,7
"Nutritional Drink Or Shake, Ready-To-Drink, Sugar Free (Slim Fast)",balanced_foods,57.0,3.32,7.74,1.93,1.6,5.95,68.0,5,1,2,0,0,3,"lunch, dinner",100g,6.689,8.63,0.06,Nutritional beverages,beverages,23.3,54.32,30.47,0.54,3.0,8
"Nutritional Drink Or Shake, Ready-To-Drink (Slim Fast)",balanced_foods,57.0,3.32,7.74,1.93,1.6,5.95,68.0,5,1,2,0,0,3,"lunch, dinner",100g,6.689,8.63,0.06,Nutritional beverages,beverages,23.3,54.32,30.47,0.54,3.0,8
"Soup, Chicken, Canned, Reduced Sodium",balanced_foods,34.0,2.02,4.87,0.72,0.9,1.23,190.0,5,1,2,0,0,3,"lunch, dinner",100g,6.677,8.59,0.06,"Soups, broth-based",other,23.76,57.29,19.06,0.15,6.0,8
