Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Cereal, Shredded Wheat, Flavored",energy_dense,367.0,9.52,78.92,1.41,10.3,20.0,2.0,4,7,6,8,0,2,"lunch, dinner",100g,11.420000000000002,5.4,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,10.38,86.02,3.46,0.12,0.0,17
Melba Toast,energy_dense,390.0,12.1,76.6,3.2,6.3,0.94,598.0,5,6,5,8,0,4,"lunch, dinner",100g,11.416,4.72,0.03,"Crackers, excludes saltines",quick_carbs,12.41,78.56,7.38,0.44,0.0,16
"Cereal, Plain Puffs",energy_dense,357.0,9.5,77.2,1.66,8.7,0.22,4.0,4,7,6,8,0,2,"lunch, dinner",100g,11.33,5.1,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,10.64,86.5,4.18,0.32,0.0,17
"Pretzels, Hard, Peanut Butter Filled",energy_dense,454.0,14.04,60.79,19.0,3.9,4.95,1039.0,4,8,5,9,0,2,"lunch, dinner",100g,11.285,3.95,0.03,Pretzels/snack mix,other,12.37,53.56,37.67,3.69,0.0,17
"Cookie, Pizzelle",energy_dense,417.0,8.1,79.0,6.9,3.0,6.0,256.0,4,9,7,8,0,0,"lunch, dinner",100g,11.198,2.66,0.02,Cookies and brownies,energy_dense,7.77,75.78,14.89,1.22,0.0,20
"Cookie, Cone Shell, Ice Cream Type, Wafer Or Cake",energy_dense,417.0,8.1,79.0,6.9,3.0,6.0,256.0,4,9,7,8,0,0,"lunch, dinner",100g,11.198,2.66,0.02,Cookies and brownies,energy_dense,7.77,75.78,14.89,1.22,0.0,20
"Cereal, Bran Flakes, Flavored",energy_dense,353.0,8.13,78.74,1.18,12.4,29.33,347.0,3,7,6,8,0,2,"lunch, dinner",100g,11.146,5.82,0.02,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,9.21,89.22,3.01,0.11,0.0,16
Croutons,energy_dense,465.0,10.8,63.5,18.3,5.0,4.41,1333.0,4,8,5,9,0,2,"lunch, dinner",100g,11.120000000000001,3.4,0.02,"Crackers, excludes saltines",quick_carbs,9.29,54.62,35.42,5.25,7.0,17
"Cereal, Wheat Flakes",energy_dense,359.0,10.06,76.27,1.47,10.4,14.0,574.0,5,6,5,8,0,2,"lunch, dinner",100g,11.11,5.7,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,11.21,84.98,3.69,0.13,0.0,16
"Cereal, Bran Flakes, Plain",energy_dense,361.0,9.65,75.03,2.42,20.5,15.27,585.0,3,6,5,8,0,2,"lunch, dinner",100g,11.105,8.35,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,10.69,83.14,6.03,0.19,0.0,14
"Cereal, O'S, Honey Nut",energy_dense,385.0,8.62,75.99,5.37,7.6,32.35,580.0,3,8,6,8,0,2,"lunch, dinner",100g,11.063,4.21,0.02,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,8.96,78.95,12.55,0.79,0.0,17
"Cereal, O'S, Flavored",energy_dense,385.0,8.62,75.99,5.37,7.6,32.35,580.0,3,8,6,8,0,2,"lunch, dinner",100g,11.063,4.21,0.02,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,8.96,78.95,12.55,0.79,0.0,17
"Crackers, Matzo",energy_dense,395.0,10.0,83.7,1.4,3.0,0.29,0.0,6,7,6,8,0,0,"lunch, dinner",100g,10.987,3.29,0.03,"Crackers, excludes saltines",quick_carbs,10.13,84.76,3.19,0.23,0.0,19
"Crackers, Matzo, Reduced Sodium",energy_dense,395.0,10.0,83.7,1.4,3.0,0.29,0.0,6,7,6,8,0,0,"lunch, dinner",100g,10.987,3.29,0.03,"Crackers, excludes saltines",quick_carbs,10.13,84.76,3.19,0.23,0.0,19
Beef Jerky,energy_dense,410.0,33.2,11.0,25.6,1.8,9.0,1785.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.962,8.54,0.08,Cold cuts and cured meats,other,32.39,10.73,56.2,10.85,48.0,12
Pork Jerky,energy_dense,412.0,35.0,9.73,24.73,0.0,9.75,1810.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.95,8.5,0.08,Cold cuts and cured meats,other,33.98,9.45,54.02,9.19,137.0,12
"Cereal, Other, Honey",energy_dense,388.0,8.02,76.12,5.71,6.1,26.51,504.0,3,8,6,8,0,2,"lunch, dinner",100g,10.892000000000001,3.64,0.02,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,8.27,78.47,13.24,0.67,0.0,17
Venison/Deer Jerky,energy_dense,398.0,32.2,14.72,22.41,0.0,14.75,2955.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.827,8.09,0.08,Cold cuts and cured meats,other,32.36,14.79,50.68,9.6,129.0,12
"Turkey Bacon, Cooked",energy_dense,368.0,29.5,4.24,25.87,0.0,4.24,2021.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.806000000000001,8.02,0.08,Bacon,other,32.07,4.61,63.27,6.93,153.0,12
"Bacon, For Use On A Sandwich",energy_dense,494.0,39.36,2.01,36.19,0.0,2.45,1798.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.791,7.97,0.08,Not included in a food category,other,31.87,1.63,65.93,12.46,99.0,12
"Pork, Cracklings",energy_dense,569.0,45.03,0.0,41.74,0.0,0.0,1289.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.773,7.91,0.08,Pork,other,31.66,0.0,66.02,15.12,90.0,12
"Pork Bacon, As To Fresh, Smoked Or Cured, Cooked",energy_dense,484.0,37.41,1.9,35.8,0.0,1.57,1757.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.719000000000001,7.73,0.08,Bacon,other,30.92,1.57,66.57,12.28,99.0,12
"Bacon, As To Type Of Meat, Cooked",energy_dense,484.0,37.41,1.9,35.8,0.0,1.57,1757.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.719000000000001,7.73,0.08,Bacon,other,30.92,1.57,66.57,12.28,99.0,12
Nutrition Bar (Clif Kids Organic Zbar),energy_dense,416.0,5.55,74.72,9.72,8.3,30.56,375.0,3,7,6,9,0,2,flexible,100g,10.699,3.33,0.01,Nutrition bars,other,5.34,71.85,21.03,2.72,0.0,16
"Snack Mix, Plain (Chex Mix)",energy_dense,417.0,8.74,72.2,10.34,4.6,7.98,707.0,2,8,6,9,0,2,"lunch, dinner",100g,10.66,3.2,0.02,Pretzels/snack mix,other,8.38,69.26,22.32,1.91,1.0,16
"Pork Bacon, Smoked Or Cured, Cooked",energy_dense,468.0,33.92,1.7,35.09,0.0,0.0,1684.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.575,7.25,0.07,Bacon,other,28.99,1.45,67.48,11.96,99.0,12
"Bacon Or Side Pork, Fresh, Cooked",energy_dense,468.0,33.92,1.7,35.09,0.0,0.0,1684.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.575,7.25,0.07,Bacon,other,28.99,1.45,67.48,11.96,99.0,12
"Bacon, For Use With Vegetables",energy_dense,468.0,33.92,1.7,35.09,0.0,0.0,1684.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.575,7.25,0.07,Not included in a food category,other,28.99,1.45,67.48,11.96,99.0,12
"Cereal, O'S, Multigrain",energy_dense,373.0,8.54,76.24,3.76,10.9,20.49,385.0,3,7,5,8,0,2,"lunch, dinner",100g,10.562999999999999,5.21,0.02,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,9.16,81.76,9.07,0.62,0.0,15
"Pretzels, Hard, Multigrain",energy_dense,381.0,10.15,80.08,2.96,4.2,2.17,1098.0,5,6,5,8,0,2,"lunch, dinner",100g,10.531,3.77,0.03,Pretzels/snack mix,other,10.66,84.07,6.99,0.4,0.0,16
Pita Chips,energy_dense,457.0,11.79,68.26,15.2,3.8,4.76,854.0,4,8,5,9,0,0,"lunch, dinner",100g,10.523,3.41,0.03,"Crackers, excludes saltines",quick_carbs,10.32,59.75,29.93,1.34,0.0,17
"Crackers, Woven Wheat, Plain (Triscuit)",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
