Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Fish, Noodles, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Cheese Sauce",lean_proteins,141.0,8.39,15.32,5.22,1.1,0.69,303.0,4,6,8,0,4,7,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,12.519000000000002,6.73,0.06,Seafood mixed dishes,lean_proteins,23.8,43.46,33.32,2.42,31.0,18
"Antipasto With Ham, Fish, Cheese, Vegetables",lean_proteins,158.0,11.62,3.75,10.7,1.1,1.51,854.0,4,6,7,1,6,4,"post_workout, lunch, dinner, snack",100-150g,12.515,8.05,0.07,Meat mixed dishes,other,29.42,9.49,60.95,4.63,39.0,17
"Tuna Noodle Casserole With Vegetables, Cream Or White Sauce",lean_proteins,149.0,8.99,14.16,6.22,0.9,2.37,211.0,5,5,8,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,12.492,6.64,0.06,Seafood mixed dishes,lean_proteins,24.13,38.01,37.57,2.76,31.0,18
"Fish, Salmon, Fried",lean_proteins,307.0,17.45,11.72,20.68,0.5,0.2,391.0,2,8,3,3,9,6,"post_workout, lunch, dinner",100-150g,12.355,5.85,0.06,Fish,lean_proteins,22.74,15.27,60.63,3.56,46.0,13
"Egg White, Omelet, Scrambled, Or Fried, With Vegetables",lean_proteins,92.0,9.13,2.49,5.09,0.2,0.74,259.0,5,5,5,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.3,10.0,0.1,Eggs and omelets,other,39.7,10.83,49.79,1.32,4.0,15
"Tuna Casserole With Vegetables And Mushroom Sauce, No Noodles",lean_proteins,115.0,9.04,8.39,5.12,0.9,1.81,364.0,4,5,7,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.292000000000002,8.64,0.08,Seafood mixed dishes,lean_proteins,31.44,29.18,40.07,1.98,21.0,16
"Fish And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Based Sauce",lean_proteins,104.0,7.79,4.64,5.99,1.2,1.5,255.0,5,3,8,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.292000000000002,8.64,0.07,Stir-fry and soy-based sauce mixtures,other,29.96,17.85,51.84,0.83,19.0,16
Macaroni Or Pasta Salad With Tuna,lean_proteins,200.0,6.69,20.88,9.9,1.2,1.57,206.0,4,6,8,3,6,4,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,12.282,3.94,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,13.38,41.76,44.55,1.58,11.0,18
"Biscayne Codfish, Puerto Rican Style",lean_proteins,190.0,9.2,11.06,12.24,1.9,1.85,300.0,3,7,8,1,6,4,"pre_workout, post_workout, lunch, dinner, snack",100-150g,12.251999999999999,5.84,0.05,Seafood mixed dishes,lean_proteins,19.37,23.28,57.98,1.9,19.0,18
"Tuna Salad Sandwich On Wheat, With Cheese",lean_proteins,232.0,11.55,15.81,13.62,1.9,3.08,486.0,4,7,7,1,6,4,"breakfast, post_workout, lunch, dinner",100-150g,12.239999999999998,5.8,0.05,Seafood sandwiches,lean_proteins,19.91,27.26,52.84,3.43,25.0,18
Tuna Noodle Casserole With Mushroom Sauce,lean_proteins,139.0,9.02,13.92,5.18,0.8,1.14,328.0,4,5,8,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,12.218,7.06,0.06,Seafood mixed dishes,lean_proteins,25.96,40.06,33.54,1.9,28.0,17
Lobster,lean_proteins,97.0,20.91,0.0,0.95,0.0,0.0,535.0,6,2,3,0,7,9,"post_workout, lunch, dinner, snack",100-150g,12.2,10.0,0.22,Shellfish,lean_proteins,86.23,0.0,8.81,0.23,161.0,11
"Tuna Salad, Made With Italian Dressing",lean_proteins,106.0,9.83,5.35,5.08,0.4,4.25,498.0,4,4,7,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.195,9.65,0.09,Seafood mixed dishes,lean_proteins,37.09,20.19,43.13,0.76,18.0,15
"Tuna Salad, Made With Light Mayonnaise-Type Salad Dressing",lean_proteins,106.0,9.78,4.75,5.4,0.4,2.7,464.0,4,4,7,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.18,9.6,0.09,Seafood mixed dishes,lean_proteins,36.91,17.92,45.85,0.88,22.0,15
"Tuna Salad, Made With Light Mayonnaise",lean_proteins,106.0,9.78,4.75,5.4,0.4,2.7,464.0,4,4,7,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.18,9.6,0.09,Seafood mixed dishes,lean_proteins,36.91,17.92,45.85,0.88,22.0,15
"Fish, Noodles, And Vegetables Including Carrots, Broccoli, And/Or Dark Green Leafy; Cheese Sauce",lean_proteins,137.0,8.35,14.16,5.22,1.1,0.74,309.0,4,5,8,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,12.170000000000002,6.9,0.06,Seafood mixed dishes,lean_proteins,24.38,41.34,34.29,2.42,31.0,17
"Tuna Salad, Made With Mayonnaise-Type Salad Dressing",lean_proteins,108.0,9.88,5.92,5.19,0.4,4.09,425.0,4,4,7,0,4,7,"post_workout, lunch, dinner, snack",100-150g,12.155999999999999,9.52,0.09,Seafood mixed dishes,lean_proteins,36.59,21.93,43.25,0.86,22.0,15
"Pork, Tofu, And Vegetables, Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Soy-Based Sauce",lean_proteins,118.0,7.21,4.45,8.05,1.0,1.66,232.0,5,3,8,1,4,7,"post_workout, lunch, dinner, snack",100-150g,12.088,6.96,0.06,Stir-fry and soy-based sauce mixtures,other,24.44,15.08,61.4,1.44,12.0,16
"Tuna Salad Sandwich On White, With Cheese",lean_proteins,233.0,10.96,16.94,13.5,0.9,3.12,489.0,4,7,7,1,6,4,"breakfast, post_workout, lunch, dinner",100-150g,12.027000000000001,5.09,0.05,Seafood sandwiches,lean_proteins,18.82,29.08,52.15,3.46,25.0,18
