Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pork, Steak, Lean Only Eaten",complete_proteins,230.0,26.71,0.0,12.8,0.0,0.0,318.0,4,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.12,Pork,other,46.45,0.0,50.09,4.87,99.0,19
"Chicken Leg, Drumstick And Thigh, As To Cooking Method, Skin Not Eaten",complete_proteins,185.0,25.54,0.0,9.15,0.0,0.0,362.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.22,0.0,44.51,2.3,139.0,19
"Chicken Leg, Drumstick And Thigh, Baked Or Broiled, Skin Eaten",complete_proteins,214.0,23.16,0.0,12.81,0.0,0.0,341.0,4,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.11,"Chicken, whole pieces",lean_proteins,43.29,0.0,53.87,3.54,131.0,19
"Turkey, Drumstick, Cooked, Skin Eaten",complete_proteins,206.0,27.64,0.0,9.74,0.0,0.0,399.0,5,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.13,"Turkey, duck, other poultry",lean_proteins,53.67,0.0,42.55,3.04,84.0,19
"Chicken Leg, Drumstick And Thigh, Rotisserie, Skin Not Eaten",complete_proteins,185.0,25.54,0.0,9.15,0.0,0.0,362.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.22,0.0,44.51,2.3,139.0,19
"Stewed, Seasoned, Ground Beef And Pork, Mexican Style",complete_proteins,139.0,16.7,1.45,6.98,0.2,0.46,338.0,6,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.12,Meat mixed dishes,other,48.06,4.17,45.19,2.56,53.0,19
"Stewed Gizzards, Puerto Rican Style",complete_proteins,179.0,20.26,4.41,8.69,1.1,1.94,380.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.11,Poultry mixed dishes,other,45.27,9.85,43.69,1.74,237.0,19
"Chicken, As To Part, Rotisserie, Skin Eaten",complete_proteins,196.0,25.07,0.1,10.65,0.0,0.1,343.0,4,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.13,"Chicken, whole pieces",lean_proteins,51.16,0.2,48.9,2.73,113.0,19
Bison,complete_proteins,178.0,25.25,0.0,8.55,0.0,0.0,383.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.14,"Lamb, goat, game",other,56.74,0.0,43.23,3.46,70.0,19
"Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Eaten",complete_proteins,203.0,24.7,0.0,10.8,0.0,0.0,338.0,4,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.12,"Chicken, whole pieces",lean_proteins,48.67,0.0,47.88,2.91,114.0,19
"Chicken Leg, Drumstick And Thigh, Stewed, Skin Not Eaten",complete_proteins,164.0,24.1,0.0,7.5,0.0,0.0,399.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.15,"Chicken, whole pieces",lean_proteins,58.78,0.0,41.16,2.03,134.0,19
"Chicken, As To Part, Sauteed, Skin Not Eaten",complete_proteins,179.0,26.74,0.0,7.2,0.0,0.0,386.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.15,"Chicken, whole pieces",lean_proteins,59.75,0.0,36.2,1.6,112.0,19
"Chicken, As To Part, Grilled Without Sauce, Skin Not Eaten",complete_proteins,179.0,26.74,0.0,7.2,0.0,0.0,386.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.15,"Chicken, whole pieces",lean_proteins,59.75,0.0,36.2,1.6,112.0,19
"Chicken Fillet Sandwich, Grilled, On Wheat Bun",complete_proteins,210.0,22.46,17.84,4.87,2.1,2.04,387.0,5,6,8,3,9,5,"breakfast, post_workout, lunch, dinner",100-150g,15.700000000000001,10.0,0.11,Chicken fillet sandwiches,lean_proteins,42.78,33.98,20.87,0.9,58.0,19
Meat Loaf Made With Venison/Deer,complete_proteins,166.0,19.02,6.31,6.73,0.4,1.58,378.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.11,Meat mixed dishes,other,45.83,15.2,36.49,3.04,86.0,19
"Chicken, As To Part, Grilled Without Sauce, As To Skin Eaten",complete_proteins,179.0,26.74,0.0,7.2,0.0,0.0,386.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.15,"Chicken, whole pieces",lean_proteins,59.75,0.0,36.2,1.6,112.0,19
"Pork, Roast",complete_proteins,181.0,26.63,0.0,7.49,0.0,0.0,353.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.15,Pork,other,58.85,0.0,37.24,2.36,79.0,19
"Shrimp, Baked Or Broiled, Coated",complete_proteins,154.0,15.55,8.74,5.91,0.3,0.14,388.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.1,Shellfish,lean_proteins,40.39,22.7,34.54,1.53,140.0,19
"Meat With Gravy, As To Type Of Meat,",complete_proteins,156.0,21.56,1.58,7.05,0.0,0.09,360.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.14,Meat mixed dishes,other,55.28,4.05,40.67,2.57,64.0,19
Ham Or Pork With Mushroom Sauce,complete_proteins,167.0,20.55,1.84,7.98,0.1,0.57,351.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.12,Meat mixed dishes,other,49.22,4.41,43.01,2.76,57.0,19
