Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pineapple, Canned, Juice Pack",fruits,48.0,0.44,12.22,0.12,0.8,11.26,4.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.774,2.58,0.01,Pineapple,fruits,3.67,100.0,2.25,0.01,0.0,8
"Fruit And Vegetable Smoothie, Bottled",fruits,53.0,0.6,12.53,0.26,0.7,11.15,6.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.734999999999999,2.45,0.01,Smoothies and grain drinks,beverages,4.53,94.57,4.42,0.05,0.0,8
"Fruit Cocktail, Canned,",fruits,55.0,0.41,14.1,0.08,0.9,13.08,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.714,2.38,0.01,Other fruits and fruit salads,vegetables,2.98,100.0,1.31,0.01,0.0,8
"Orange Juice, 100%, Freshly Squeezed",fruits,47.0,0.81,10.01,0.36,0.3,8.08,0.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.708,2.36,0.02,Citrus juice,fruits,6.89,85.19,6.89,0.01,0.0,8
"Orange, Canned, In Syrup",fruits,55.0,0.59,14.07,0.04,0.7,13.42,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.705,2.35,0.01,Citrus fruits,fruits,4.29,100.0,0.65,0.0,0.0,8
"Orange Juice, 100%, With Calcium Added, Frozen, Reconstituted",fruits,42.0,0.68,9.67,0.07,0.3,8.48,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.699,2.33,0.02,Citrus juice,fruits,6.48,92.1,1.5,0.02,0.0,8
"Orange Juice, 100%, Frozen, Reconstituted",fruits,42.0,0.68,10.04,0.07,0.3,8.47,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.699,2.33,0.02,Citrus juice,fruits,6.48,95.62,1.5,0.02,0.0,8
Gelatin Dessert With Fruit,fruits,56.0,1.1,13.34,0.01,0.2,12.59,64.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.696,2.32,0.02,"Gelatins, ices, sorbets",other,7.86,95.29,0.16,0.0,0.0,8
"Orange Juice, 100%,",fruits,47.0,0.77,10.17,0.34,0.3,8.18,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.684,2.28,0.02,Citrus juice,fruits,6.55,86.55,6.51,0.01,0.0,8
"Orange Juice, 100%, Canned, Bottled Or In A Carton",fruits,47.0,0.77,10.18,0.34,0.3,8.18,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.684,2.28,0.02,Citrus juice,fruits,6.55,86.64,6.51,0.01,0.0,8
